year,month,자치구코드,시간대구분,male_pop,female_pop
2020,2,11215,21,184698.88018965517,206929.85223793105
2020,2,11215,22,185133.43357586206,207706.49593448275
2020,2,11215,23,182274.72635862068,204892.17733793103
2020,2,11230,0,174684.41574137931,189950.70367931036
2020,2,11230,1,174896.84081034482,190103.23024482757
2020,2,11230,2,175098.00927586207,190157.46275517243
2020,2,11230,3,175374.9595103448,190307.46395517242
2020,2,11230,4,176039.47602413793,190673.27425172416
2020,2,11230,5,176489.63684827587,190807.5583448276
2020,2,11230,6,176045.57668620688,190787.50203793103
2020,2,11230,7,176873.79167931035,192408.91674827586
2020,2,11230,8,175028.67630344827,191647.47586896553
2020,2,11230,9,173514.33469310345,189899.64977241377
2020,2,11230,10,173393.40296206897,189603.8725103448
2020,2,11230,11,173803.62136551726,189289.21074827586
2020,2,11230,12,173927.99502413793,188949.56557931035
2020,2,11230,13,173985.49244827585,188898.81143448278
2020,2,11230,14,173795.9255586207,188668.23109310344
2020,2,11230,15,173114.95403448277,188081.94355862067
2020,2,11230,16,172577.26353793102,186944.72036206897
2020,2,11230,17,171905.9851275862,186036.24203793105
2020,2,11230,18,172088.0555689655,186016.23318965518
2020,2,11230,19,172211.85728275863,186242.44322413794
2020,2,11230,20,172574.81492068965,186756.11360344826
2020,2,11230,21,173046.1527413793,187690.70887241382
2020,2,11230,22,174214.39446551725,188957.52587931036
2020,2,11230,23,174366.14523793105,189723.22381724138
2020,2,11260,0,186474.36795862069,208665.2414724138
2020,2,11260,1,187138.10897586207,209131.05783793106
2020,2,11260,2,187602.1918689655,209413.88354827586
2020,2,11260,3,187992.4333,209597.3381586207
2020,2,11260,4,187943.45134482757,209304.7586310345
2020,2,11260,5,186388.8356551724,208415.02949655172
2020,2,11260,6,182408.7072310345,206533.30943103446
2020,2,11260,7,176130.16660689656,203403.24418620692
2020,2,11260,8,166233.3781310345,194594.7475896552
2020,2,11260,9,160650.96303448276,187772.49039310345
2020,2,11260,10,157536.5046034483,184744.85031724136
2020,2,11260,11,155965.9290310345,182657.29865862068
2020,2,11260,12,155081.2637275862,180984.3015413793
2020,2,11260,13,154036.86530689654,179398.67361034482
2020,2,11260,14,153963.72009310345,179054.70163448277
2020,2,11260,15,155066.17662758622,180141.76741034482
2020,2,11260,16,157325.84040344827,181974.0680827586
2020,2,11260,17,161175.44387931033,184294.3106551724
2020,2,11260,18,167222.40194827586,189420.7751689655
2020,2,11260,19,172744.56386551724,194224.2597586207
2020,2,11260,20,176043.31532413792,197361.9212724138
2020,2,11260,21,178705.16730344828,200660.66964827589
2020,2,11260,22,181535.53461034482,203780.66105172414
2020,2,11260,23,185530.72245862067,207749.4517551724
2020,2,11290,0,210737.57689310348,244996.9012413793
2020,2,11290,1,211252.5983448276,245318.36517931035
2020,2,11290,2,211709.63990344826,245772.81259310344
2020,2,11290,3,212085.7504586207,246045.42573793104
2020,2,11290,4,212396.92165517242,246142.64283793105
2020,2,11290,5,211867.27226896552,246035.60512758623
2020,2,11290,6,209070.4099,244938.3267551724
2020,2,11290,7,203315.2845413793,242125.13890689655
2020,2,11290,8,194569.3316137931,234411.0037586207
2020,2,11290,9,190048.04357931035,229487.6719137931
2020,2,11290,10,187553.23062413794,226890.8640724138
2020,2,11290,11,185727.85317586208,224908.04187586208
2020,2,11290,12,184481.1761,223319.83782068963
2020,2,11290,13,183520.91797586207,221932.47549310347
2020,2,11290,14,183003.61772758624,221254.09012068965
2020,2,11290,15,183619.94168620688,221902.13156896553
2020,2,11290,16,185004.87193793102,223159.3564586207
2020,2,11290,17,187505.44603448274,225201.77252413795
2020,2,11290,18,193009.03022758622,229576.1617724138
2020,2,11290,19,198667.94401034483,234302.83438275865
2020,2,11290,20,202046.6551413793,237175.56867931035
2020,2,11290,21,205321.41541379312,240003.48104827583
2020,2,11290,22,208317.3615586207,243075.29751379314
2020,2,11290,23,209502.01035172417,244089.0817275862
2020,2,11305,0,155019.21412068966,180980.93103448275
2020,2,11305,1,155304.15690689656,181087.38699655174
2020,2,11305,2,155443.1074137931,181175.24220689657
2020,2,11305,3,155408.9343103448,181202.84053448276
2020,2,11305,4,154874.47936896552,180605.6919896552
2020,2,11305,5,152709.66391724136,179725.49867931035
2020,2,11305,6,148560.61640344828,178057.22
2020,2,11305,7,142845.39756551723,174621.18807931035
2020,2,11305,8,136347.8628137931,168117.91182413793
